employee_id,first_name,last_name,department,job_title,hire_date,home_district,home_address,home_lat,home_lng,reported_lat,reported_lng,work_district,work_address,work_lat,work_lng,distance_home_to_work_km,address_changes_last_year,last_verified_date,address_valid,gps_location_mismatch,is_anomaly,likely_to_relocate,relocation_score
RW-EMP-00015,Claudine,Munyakazi,Ministry of Infrastructure,Specialist,2018-09-27,Kicukiro,"KG 357 St, Remera, Kicukiro",-1.987042,30.094152,-1.988931,30.095568,Kicukiro,"NR 321 St, Masaka, Kicukiro",-1.994637,30.09215,0.87,1,2024-09-21,1,0,0,0,0.18
RW-EMP-00016,Yvonne,Niyonzima,Ministry of Finance,Engineer,2022-10-22,Kicukiro,"KN 68 St, Remera, Kicukiro",-2.008336,30.102528,-2.00583,30.10437,Kicukiro,"RN 474 St, Kimironko, Kicukiro",-1.995267,30.100852,1.46,1,2024-09-28,0,0,0,0,0.13
RW-EMP-00017,Beatrice,Ingabire,Ministry of Health,Administrator,2019-01-08,Rusizi,"NR 86 St, Gisozi, Rusizi",-2.480212,28.90484,-2.476189,28.906557,Rusizi,"NR 268 St, Kanombe, Rusizi",-2.479472,28.903533,0.17,0,2024-04-22,1,0,0,0,0.07
RW-EMP-00018,Fabiola,Munyakazi,Ministry of Finance,Director,2018-08-22,Nyarugenge,"NR 33 St, Gisozi, Nyarugenge",-1.937824,30.078441,-1.93558,30.082135,Nyarugenge,"NR 120 St, Kagugu, Nyarugenge",-1.950511,30.063621,2.17,0,2024-06-08,1,0,0,0,0.05
RW-EMP-00019,Chantal,Munyakazi,Rwanda Development Board,Senior Officer,2019-11-26,Nyarugenge,"KG 269 St, Kacyiru, Nyarugenge",-1.943855,30.062862,-1.942307,30.064279,Nyarugenge,"KN 10 St, Kacyiru, Nyarugenge",-1.940607,30.068347,0.71,3,2024-10-10,1,0,0,0,0.3
RW-EMP-00020,Fabiola,Sibomana,Rwanda Development Board,Specialist,2020-03-01,Rusizi,"KK 361 St, Gisozi, Rusizi",-2.484939,28.910559,-2.483531,28.910406,Rusizi,"RN 189 St, Nyamirambo, Rusizi",-2.47435,28.909365,1.18,0,2024-02-14,1,0,0,0,0.1
RW-EMP-00021,Solange,Niyonzima,Rwanda Revenue Authority,Supervisor,2018-11-25,Huye,"NR 434 St, Masaka, Huye",-2.588991,29.751906,-2.589647,29.754257,Huye,"KN 429 St, Kanombe, Huye",-2.596569,29.740737,1.5,1,2024-11-20,1,0,0,0,0.11
RW-EMP-00022,Innocent,Mutabazi,Ministry of Health,Manager,2018-10-26,Gasabo,"KG 480 St, Kacyiru, Gasabo",-1.899411,30.112042,-1.901328,30.115451,Gasabo,"NR 433 St, Masaka, Gasabo",-1.890389,30.106849,1.16,0,2024-10-16,1,0,0,0,0.04
RW-EMP-00023,Pierre,Bizimana,Ministry of Health,Senior Officer,2023-05-05,Huye,"RN 78 St, Masaka, Huye",-2.59825,29.73853,-2.599978,29.737865,Huye,"KG 359 St, Kimironko, Huye",-2.597755,29.741212,0.3,0,2024-02-11,1,0,0,0,0.06
RW-EMP-00024,Marie,Ingabire,Rwanda Revenue Authority,Nurse,2021-06-06,Kayonza,"KK 380 St, Kagugu, Kayonza",-1.89783,30.64103,-1.901954,30.640427,Kayonza,"KG 336 St, Kanombe, Kayonza",-1.88295,30.648102,1.83,0,2024-06-14,1,0,0,0,0.03
RW-EMP-00025,Odette,Abayisenga,Rwanda Revenue Authority,Administrator,2021-12-01,Rusizi,"KG 186 St, Masaka, Rusizi",-2.476482,28.924804,-2.476085,28.92624,Kicukiro,"NR 285 St, Kanombe, Kicukiro",-1.991251,30.100479,141.18,0,2024-09-02,1,0,0,0,0.31
RW-EMP-00026,Esperance,Mutabazi,Ministry of Justice,Coordinator,2022-09-13,Musanze,"KG 316 St, Nyamirambo, Musanze",-1.500668,29.631316,-1.503051,29.630381,Musanze,"NR 207 St, Kanombe, Musanze",-1.499132,29.634957,0.44,0,2024-08-20,1,0,0,0,0.1
RW-EMP-00027,Emmanuel,Bizimana,Ministry of Agriculture,Supervisor,2021-04-26,Kicukiro,"KG 496 St, Kacyiru, Kicukiro",-2.003618,30.111788,-2.002015,30.112886,Kicukiro,"RN 37 St, Kimironko, Kicukiro",-1.996114,30.104479,1.16,0,2024-09-11,1,0,0,0,0.02
RW-EMP-00028,Amina,Ntirenganya,Ministry of Education,Specialist,2019-02-02,Kicukiro,"KG 292 St, Remera, Kicukiro",-1.984441,30.110923,-1.985115,30.11149,Kayonza,"KG 297 St, Kanombe, Kayonza",-1.884214,30.651975,61.08,1,2024-11-19,1,0,0,0,0.34
RW-EMP-00029,Emmanuel,Bizimana,Rwanda Development Board,Administrator,2021-03-11,Huye,"NR 82 St, Nyamirambo, Huye",-2.597732,29.739835,-2.598236,29.740569,Huye,"NR 257 St, Kanombe, Huye",-2.594556,29.738731,0.37,0,2024-07-21,1,0,0,0,0.07
RW-EMP-00030,Chantal,Niyonzima,Ministry of Agriculture,Director,2018-05-05,Kicukiro,"NR 315 St, Kibagabaga, Kicukiro",-2.004536,30.095825,-2.000964,30.096531,Kicukiro,"KK 226 St, Kacyiru, Kicukiro",-2.00285,30.097925,0.3,0,2024-08-24,1,0,0,0,0.06
RW-EMP-00031,Rodrigue,Abayisenga,Ministry of Education,Nurse,2021-08-16,Kicukiro,"KK 500 St, Masaka, Kicukiro",-2.008351,30.093183,-2.011553,30.095162,Kicukiro,"KK 154 St, Kanombe, Kicukiro",-1.991567,30.101521,2.08,0,2024-08-11,0,0,0,0,0.02
RW-EMP-00032,Janvier,Uwimana,Rwanda National Police,Officer,2020-06-10,Musanze,"KN 44 St, Gikondo, Musanze",-1.502763,29.649636,-1.505586,29.650811,Musanze,"KN 495 St, Kibagabaga, Musanze",-1.500262,29.639001,1.21,1,2024-10-11,1,0,0,0,0.17
RW-EMP-00033,Fidele,Abayisenga,Ministry of Finance,Inspector,2020-11-22,Rwamagana,"KG 40 St, Kibagabaga, Rwamagana",-1.949896,30.432833,-1.949366,30.431409,Rwamagana,"KK 326 St, Kimironko, Rwamagana",-1.955362,30.42682,0.9,0,2024-12-14,1,0,0,0,0.09
RW-EMP-00034,Josiane,Mukamana,Ministry of Education,Inspector,2020-09-21,Rwamagana,"RN 303 St, Gikondo, Rwamagana",-1.945552,30.429954,-1.945202,30.429788,Rwamagana,"NR 6 St, Gisozi, Rwamagana",-1.951688,30.430993,0.69,2,2024-12-04,1,0,0,0,0.2
RW-EMP-00035,Vestine,Habimana,Ministry of Finance,Analyst,2022-07-24,Musanze,"KK 189 St, Gisozi, Musanze",-1.514532,29.641443,-1.51182,29.643093,Musanze,"RN 396 St, Kibagabaga, Musanze",-1.497537,29.632943,2.11,2,2024-04-15,0,0,0,0,0.2
RW-EMP-00036,Innocent,Uwitonze,Ministry of Health,Administrator,2021-07-11,Musanze,"KN 377 St, Kimironko, Musanze",-1.497596,29.634446,-1.497489,29.636324,Rusizi,"NR 144 St, Remera, Rusizi",-2.47841,28.901609,135.9,2,2024-08-15,1,0,0,1,0.55
RW-EMP-00037,Celestin,Mutabazi,Ministry of Agriculture,Director,2022-10-24,Muhanga,"RN 153 St, Masaka, Muhanga",-2.071397,29.749397,-2.07008,29.751234,Muhanga,"NR 3 St, Masaka, Muhanga",-2.083148,29.749912,1.31,0,2024-10-29,1,0,0,0,0.08
RW-EMP-00038,Odette,Uwase,Ministry of Agriculture,Manager,2020-08-30,Rubavu,"NR 473 St, Masaka, Rubavu",-1.669402,29.257109,-1.668296,29.258042,Rubavu,"KG 250 St, Nyamirambo, Rubavu",-1.689273,29.262762,2.29,0,2024-01-06,1,0,0,0,0.04
RW-EMP-00039,Celestin,Ndayisaba,Ministry of Agriculture,Engineer,2021-06-22,Nyarugenge,"RN 227 St, Gikondo, Nyarugenge",-1.947868,30.058994,-1.944669,30.060364,Nyarugenge,"KN 261 St, Gisozi, Nyarugenge",-1.942774,30.061359,0.62,0,2024-10-15,1,0,0,0,0.02
RW-EMP-00040,Josiane,Niyonzima,Rwanda Revenue Authority,Coordinator,2021-10-13,Rusizi,"KN 432 St, Masaka, Rusizi",-2.477318,28.903497,-2.479694,28.90007,Rusizi,"KG 8 St, Remera, Rusizi",-2.483784,28.905725,0.76,1,2024-12-31,1,0,0,0,0.15
RW-EMP-00041,Fidele,Niyonzima,Ministry of Agriculture,Analyst,2019-08-05,Huye,"KK 162 St, Kanombe, Huye",-2.59676,29.739736,-2.595853,29.737564,Rwamagana,"RN 290 St, Kacyiru, Rwamagana",-1.950048,30.433732,105.3,4,2024-11-23,0,0,1,1,0.71
RW-EMP-00042,Amina,Kayitesi,Rwanda National Police,Officer,2019-04-23,Rusizi,"NR 177 St, Gikondo, Rusizi",-2.47149,28.913483,-2.473766,28.910993,Rusizi,"KK 326 St, Kacyiru, Rusizi",-2.4818,28.907773,1.31,0,2024-03-08,1,0,0,0,0.07
RW-EMP-00043,Esperance,Habyarimana,Ministry of Finance,Teacher,2022-01-30,Muhanga,"RN 305 St, Kanombe, Muhanga",-2.081895,29.747707,-2.081962,29.747554,Muhanga,"KK 202 St, Remera, Muhanga",-2.085655,29.743535,0.62,0,2024-04-19,1,0,0,0,0.05
RW-EMP-00044,Pierre,Niyonzima,Rwanda Development Board,Administrator,2020-11-08,Huye,"KK 366 St, Gisozi, Huye",-2.589905,29.746405,-2.590518,29.74746,Huye,"NR 111 St, Kagugu, Huye",-2.590244,29.735969,1.16,0,2024-01-16,0,0,0,0,0.08
RW-EMP-00045,Fidele,Niyonzima,Rwanda National Police,Specialist,2022-02-13,Kayonza,"KG 235 St, Remera, Kayonza",-1.878098,30.650958,-1.876021,30.647693,Kayonza,"KN 356 St, Gisozi, Kayonza",-1.875963,30.653802,0.39,0,2024-06-20,1,0,0,0,0.02
RW-EMP-00046,Pierre,Tuyisenge,Ministry of Justice,Officer,2018-05-20,Kayonza,"KG 391 St, Remera, Kayonza",-1.880759,30.652713,-1.876745,30.650815,Kayonza,"NR 50 St, Remera, Kayonza",-1.881433,30.651752,0.13,1,2024-03-13,1,0,0,0,0.15
RW-EMP-00047,Patrick,Abayisenga,Ministry of Health,Engineer,2021-05-10,Rubavu,"KN 248 St, Nyamirambo, Rubavu",-1.681805,29.258948,-1.681566,29.257136,Rubavu,"RN 114 St, Kimironko, Rubavu",-1.679349,29.263125,0.54,0,2024-05-08,1,0,0,0,0.08
RW-EMP-00048,Patrick,Kayitesi,Ministry of Health,Analyst,2019-07-04,Rusizi,"KK 170 St, Gisozi, Rusizi",-2.485598,28.90577,-2.484128,28.90518,Rusizi,"KG 317 St, Gisozi, Rusizi",-2.48467,28.907164,0.19,0,2024-10-03,1,0,0,0,0.1
RW-EMP-00049,Odette,Sibomana,Ministry of Agriculture,Nurse,2021-04-11,Musanze,"KK 129 St, Remera, Musanze",-1.491561,29.627092,-1.490159,29.626844,Musanze,"KN 335 St, Kimironko, Musanze",-1.501682,29.634768,1.41,0,2024-07-30,1,0,0,0,0.02
RW-EMP-00050,Solange,Ntakirutimana,Ministry of Health,Inspector,2019-04-14,Rwamagana,"KN 258 St, Kacyiru, Rwamagana",-1.945536,30.439635,-1.94762,30.44225,Rwamagana,"KK 390 St, Masaka, Rwamagana",-1.945723,30.4317,0.88,5,2024-04-21,1,0,0,0,0.48
RW-EMP-00051,Odette,Habimana,Ministry of Education,Manager,2018-11-25,Kicukiro,"RN 286 St, Kanombe, Kicukiro",-1.988051,30.09807,-1.987402,30.10188,Kicukiro,"RN 439 St, Kimironko, Kicukiro",-1.996451,30.097217,0.94,0,2024-09-16,1,0,0,0,0.02
RW-EMP-00052,Jean,Ntirenganya,Ministry of Education,Senior Officer,2020-05-13,Huye,"NR 199 St, Nyamirambo, Huye",-2.608677,29.731749,-2.60914,29.733281,Huye,"KK 365 St, Kibagabaga, Huye",-2.591011,29.735106,2.0,0,2024-04-18,1,0,0,0,0.04
RW-EMP-00053,Patrick,Uwimana,Ministry of Health,Supervisor,2021-06-09,Kicukiro,"KG 308 St, Remera, Kicukiro",-1.98016,30.108756,-1.980171,30.108849,Muhanga,"KN 300 St, Kacyiru, Muhanga",-2.085923,29.746296,41.91,0,2024-02-08,1,0,0,0,0.22
RW-EMP-00054,Yvonne,Ntirenganya,Ministry of Infrastructure,Manager,2022-02-07,Rwamagana,"KK 92 St, Remera, Rwamagana",-1.957045,30.430015,-1.956889,30.43131,Rwamagana,"NR 284 St, Masaka, Rwamagana",-1.950845,30.435118,0.89,1,2024-05-24,1,0,0,0,0.13
RW-EMP-00055,Fabiola,Abayisenga,Rwanda National Police,Technician,2020-09-23,Kicukiro,"KN 56 St, Kagugu, Kicukiro",-1.994431,30.09736,-1.996618,30.098136,Kicukiro,"KG 1 St, Kimironko, Kicukiro",-1.997309,30.099056,0.37,1,2024-07-16,1,0,0,0,0.1
RW-EMP-00056,Chantal,Uwimana,Ministry of Justice,Nurse,2020-08-31,Kicukiro,"KK 151 St, Kanombe, Kicukiro",-2.007561,30.087806,-2.007747,30.086683,Kicukiro,"RN 436 St, Kacyiru, Kicukiro",-2.00158,30.099825,1.49,2,2024-05-03,1,0,0,0,0.21
RW-EMP-00057,Alexis,Gashumba,Rwanda Development Board,Supervisor,2021-07-19,Muhanga,"RN 283 St, Kagugu, Muhanga",-2.079951,29.767444,-2.077399,29.76546,Muhanga,"NR 463 St, Kibagabaga, Muhanga",-2.091302,29.746908,2.6,0,2024-11-11,1,0,0,0,0.06
RW-EMP-00058,Jean,Bizimana,Ministry of Health,Administrator,2021-07-28,Rusizi,"KG 137 St, Gisozi, Rusizi",-2.467291,28.914503,-2.466886,28.913635,Rusizi,"NR 59 St, Kagugu, Rusizi",-2.475491,28.908647,1.12,0,2024-01-02,1,0,0,0,0.05
RW-EMP-00059,Rodrigue,Ingabire,Ministry of Agriculture,Director,2021-06-16,Rusizi,"RN 85 St, Masaka, Rusizi",-2.482276,28.908289,-2.482474,28.909338,Rusizi,"NR 74 St, Masaka, Rusizi",-2.473994,28.906316,0.95,0,2024-05-12,1,0,0,0,0.06
RW-EMP-00060,Odette,Ntakirutimana,Ministry of Justice,Engineer,2019-05-28,Kayonza,"KG 82 St, Remera, Kayonza",-1.888207,30.646517,-1.891319,30.644022,Kayonza,"KK 229 St, Remera, Kayonza",-1.884281,30.645856,0.44,2,2024-05-04,1,0,0,0,0.18
RW-EMP-00061,Chantal,Abayisenga,Rwanda National Police,Teacher,2021-11-27,Kayonza,"KK 140 St, Nyamirambo, Kayonza",-1.880711,30.634282,-1.880702,30.633987,Kayonza,"KN 152 St, Gisozi, Kayonza",-1.882138,30.650199,1.77,0,2024-04-25,1,0,0,0,0.1
RW-EMP-00062,Solange,Niyonzima,Ministry of ICT,Senior Officer,2018-11-10,Musanze,"RN 398 St, Gisozi, Musanze",-1.507912,29.620616,-1.509916,29.618346,Huye,"KN 100 St, Remera, Huye",-2.591499,29.743305,121.05,0,2024-12-01,1,0,0,0,0.38
RW-EMP-00063,Yvonne,Nkurunziza,Ministry of Education,Supervisor,2020-10-18,Muhanga,"RN 182 St, Remera, Muhanga",-2.068778,29.739907,-2.067775,29.736599,Muhanga,"KG 65 St, Kagugu, Muhanga",-2.085098,29.74912,2.08,0,2024-07-16,1,0,0,0,0.03
RW-EMP-00064,Vestine,Mutabazi,Ministry of Health,Nurse,2019-11-19,Nyarugenge,"KG 116 St, Gikondo, Nyarugenge",-1.948112,30.061786,-1.946461,30.058097,Gasabo,"KG 119 St, Kagugu, Gasabo",-1.894833,30.110549,8.02,0,2024-11-09,1,0,0,0,0.03
RW-EMP-00065,Odette,Ntirenganya,Ministry of Infrastructure,Senior Officer,2020-12-04,Rusizi,"RN 92 St, Nyamirambo, Rusizi",-2.464968,28.905646,-2.466718,28.903628,Rusizi,"KK 314 St, Masaka, Rusizi",-2.479508,28.907776,1.63,0,2024-03-25,1,0,0,0,0.08
RW-EMP-00066,Immaculee,Ingabire,Ministry of Justice,Engineer,2021-10-25,Rwamagana,"RN 369 St, Kagugu, Rwamagana",-1.937518,30.439609,-1.936172,30.440269,Rwamagana,"NR 462 St, Remera, Rwamagana",-1.94741,30.432459,1.35,0,2024-03-04,1,0,0,0,0.09
RW-EMP-00067,Pierre,Uwase,Rwanda Development Board,Specialist,2019-06-30,Gasabo,"RN 159 St, Masaka, Gasabo",-1.902942,30.10787,-1.903399,30.107719,Gasabo,"KN 70 St, Remera, Gasabo",-1.896155,30.110999,0.83,1,2024-06-21,1,0,0,0,0.15
RW-EMP-00068,Vestine,Gashumba,Ministry of Agriculture,Teacher,2022-08-31,Muhanga,"KG 185 St, Gisozi, Muhanga",-2.097133,29.744566,-2.097309,29.74063,Muhanga,"NR 259 St, Kanombe, Muhanga",-2.085169,29.74936,1.43,0,2024-12-19,1,0,0,0,0.07
RW-EMP-00069,Eric,Ndayisaba,Ministry of ICT,Manager,2019-09-21,Rusizi,"KK 6 St, Kagugu, Rusizi",-2.496265,28.913824,-2.498381,28.912799,Rusizi,"KN 485 St, Kagugu, Rusizi",-2.480081,28.902764,2.18,0,2024-12-18,0,0,0,0,0.02
RW-EMP-00070,Emmanuel,Uwase,Rwanda Development Board,Coordinator,2022-06-17,Kayonza,"KN 361 St, Kacyiru, Kayonza",-1.883106,30.664052,-1.882112,30.663008,Rusizi,"KN 70 St, Kibagabaga, Rusizi",-2.479193,28.907411,205.91,0,2024-11-28,1,0,0,0,0.38
RW-EMP-00071,Olivier,Nkurunziza,Ministry of Justice,Accountant,2019-12-27,Rwamagana,"KN 213 St, Kanombe, Rwamagana",-1.954761,30.430891,-1.957704,30.433862,Rwamagana,"KG 13 St, Nyamirambo, Rwamagana",-1.950512,30.434567,0.62,0,2024-01-02,1,0,0,0,0.01
RW-EMP-00072,Eric,Munyakazi,Ministry of Education,Engineer,2018-12-07,Nyarugenge,"KN 331 St, Gisozi, Nyarugenge",-1.9471,30.049818,-1.947311,30.050029,Nyarugenge,"NR 150 St, Remera, Nyarugenge",-1.937316,30.059998,1.57,0,2024-09-28,1,0,0,0,0.01
RW-EMP-00073,Eric,Ntakirutimana,Ministry of Agriculture,Manager,2022-09-17,Rwamagana,"KN 100 St, Kagugu, Rwamagana",-1.959381,30.432778,-1.96209,30.433508,Rwamagana,"KK 26 St, Masaka, Rwamagana",-1.944767,30.440506,1.83,0,2024-05-13,1,0,0,0,0.04
RW-EMP-00074,Fidele,Uwase,Rwanda Revenue Authority,Specialist,2018-07-14,Rusizi,"KN 139 St, Gisozi, Rusizi",-2.476943,28.913015,-2.478531,28.914775,Rusizi,"KK 199 St, Nyamirambo, Rusizi",-2.474575,28.902476,1.2,0,2024-04-26,1,0,0,0,0.02
RW-EMP-00075,Immaculee,Ntakirutimana,Ministry of Infrastructure,Inspector,2018-11-21,Gasabo,"KN 337 St, Gikondo, Gasabo",-1.902073,30.097543,-1.900826,30.097369,Gasabo,"KN 213 St, Kagugu, Gasabo",-1.897464,30.111245,1.6,1,2024-01-17,1,0,0,0,0.11
RW-EMP-00076,Pierre,Uwimana,Ministry of Education,Inspector,2018-10-16,Rusizi,"RN 237 St, Kacyiru, Rusizi",-2.482675,28.904366,-2.482388,28.902137,Rusizi,"KK 48 St, Masaka, Rusizi",-2.480611,28.907553,0.42,0,2024-10-31,1,0,0,0,0.06
RW-EMP-00077,Fidele,Mutabazi,Rwanda Revenue Authority,Specialist,2020-09-29,Kayonza,"KG 207 St, Kibagabaga, Kayonza",-1.883958,30.6503,-1.884018,30.650338,Kayonza,"KG 255 St, Masaka, Kayonza",-1.888823,30.651933,0.57,1,2024-10-20,1,0,0,0,0.13
RW-EMP-00078,Pierre,Bizimana,Ministry of ICT,Specialist,2021-11-11,Huye,"KK 489 St, Kacyiru, Huye",-2.588028,29.739467,-2.590025,29.736711,Huye,"KG 2 St, Kagugu, Huye",-2.599408,29.740952,1.27,0,2024-05-30,1,0,0,0,0.1
RW-EMP-00079,Olivier,Mutabazi,Rwanda Revenue Authority,Manager,2018-03-26,Huye,"KG 45 St, Kanombe, Huye",-2.604258,29.740142,-2.600429,29.7405,Huye,"KG 163 St, Gikondo, Huye",-2.594838,29.734379,1.23,0,2024-08-19,1,0,0,0,0.02
RW-EMP-00080,Innocent,Munyakazi,Ministry of Finance,Administrator,2018-04-22,Kicukiro,"RN 70 St, Nyamirambo, Kicukiro",-1.999779,30.100505,-1.997494,30.065399,Kicukiro,"NR 403 St, Kibagabaga, Kicukiro",-1.992127,30.097197,0.93,0,2024-06-02,1,1,0,0,0.22
RW-EMP-00081,Olivier,Habimana,Rwanda National Police,Director,2020-10-28,Huye,"NR 72 St, Masaka, Huye",-2.590378,29.742591,-2.590373,29.742571,Huye,"KK 311 St, Kibagabaga, Huye",-2.598171,29.744937,0.9,0,2024-09-16,1,0,0,0,0.03
RW-EMP-00082,Amina,Gashumba,Ministry of ICT,Technician,2023-03-27,Kicukiro,"NR 224 St, Kibagabaga, Kicukiro",-1.987643,30.104387,-1.987413,30.104542,Kicukiro,"KG 444 St, Kacyiru, Kicukiro",-1.99415,30.098347,0.99,5,2024-01-20,1,0,0,0,0.48
RW-EMP-00083,Beatrice,Ntakirutimana,Ministry of Agriculture,Specialist,2020-04-28,Muhanga,"RN 162 St, Kimironko, Muhanga",-2.086554,29.744282,-2.084067,29.742534,Muhanga,"KN 297 St, Kibagabaga, Muhanga",-2.076795,29.756046,1.7,3,2024-02-05,1,0,0,0,0.29
RW-EMP-00084,Amina,Niyonzima,Rwanda Development Board,Manager,2019-05-26,Kayonza,"KN 260 St, Kagugu, Kayonza",-1.873997,30.649603,-1.875625,30.649398,Kayonza,"KG 381 St, Remera, Kayonza",-1.884924,30.651523,1.23,1,2024-02-27,1,0,0,0,0.14
RW-EMP-00085,Beatrice,Mutabazi,Ministry of Agriculture,Accountant,2022-11-17,Huye,"KG 172 St, Kibagabaga, Huye",-2.581952,29.738307,-2.580168,29.734214,Huye,"KG 261 St, Kagugu, Huye",-2.598285,29.733654,1.89,0,2024-05-10,1,0,0,0,0.05
RW-EMP-00086,Odette,Ntirenganya,Ministry of Agriculture,Coordinator,2020-10-04,Rubavu,"NR 101 St, Gisozi, Rubavu",-1.683053,29.259896,-1.685016,29.259158,Rubavu,"KG 171 St, Kacyiru, Rubavu",-1.685828,29.264157,0.56,1,2024-04-21,1,0,0,0,0.17
RW-EMP-00087,Yvonne,Ntirenganya,Ministry of ICT,Coordinator,2020-06-08,Muhanga,"RN 45 St, Kanombe, Muhanga",-2.074521,29.736741,-2.072388,29.733617,Musanze,"NR 82 St, Masaka, Musanze",-1.496949,29.633507,65.13,1,2024-04-13,1,0,0,0,0.31
RW-EMP-00088,Immaculee,Habyarimana,Rwanda Revenue Authority,Coordinator,2022-08-17,Muhanga,"NR 248 St, Remera, Muhanga",-2.076197,29.752379,-2.076286,29.752253,Muhanga,"RN 212 St, Gikondo, Muhanga",-2.082024,29.752954,0.65,1,2024-07-16,1,0,0,0,0.17
RW-EMP-00089,Celestin,Munyakazi,Ministry of Infrastructure,Supervisor,2021-11-30,Musanze,"KG 400 St, Kanombe, Musanze",-1.499703,29.633904,-1.501638,29.63646,Musanze,"NR 281 St, Remera, Musanze",-1.499896,29.630619,0.37,1,2024-02-01,1,0,0,0,0.11
